dato_str,municipality_id,nedbor_mm
2018-05-06,0101,0.0
2018-05-07,0657,0.0
2018-05-11,0217,0.0
2018-05-13,0851,0.0
2018-05-14,0153,0.0
2018-05-18,0101,1.1
2018-05-18,0615,0.0
2018-05-18,0851,0.0
2018-05-21,0153,0.0
2018-05-21,0217,0.0
2018-05-21,0657,0.0
2018-04-07,0173,0.0
2018-04-08,0217,0.0
2018-04-08,0540,0.0
2018-04-08,0751,0.0
2018-04-13,0751,0.0
2018-04-14,0540,0.8
2018-04-15,0461,1.1
2018-04-16,0846,0.0
2018-04-17,0217,0.0
2018-04-18,0730,0.0
2018-04-19,0740,0.0
2018-04-19,0173,0.0
2018-04-22,0461,0.1
2018-04-22,0730,0.6
2018-04-23,0751,1.3
2018-04-29,0540,11.6
2018-04-30,0846,1.4
2018-04-30,0740,1.7
2018-05-06,0751,0.0
2018-05-13,0461,0.0
2018-05-06,0540,0.0
2018-05-13,0846,0.0
2018-05-19,0751,0.0
2018-05-22,0540,0.0
2018-05-25,0101,2.2
2018-07-15,0813,0.0
2018-07-15,0217,0.0
2018-07-13,0540,0.0
2018-07-14,0657,0.0
2018-07-16,0730,0.6
2018-07-13,0630,0.0
2018-07-16,0101,1.2
2018-07-20,0851,0.0
2018-07-22,0751,0.0
2018-07-22,0153,0.0
2018-07-23,0846,0.1
2018-07-22,0615,0.0
2018-07-22,0461,0.0
2018-07-21,0561,0.0
2018-07-28,0657,0.1
2018-07-29,0101,0.0
2018-07-30,0630,0.0
2018-07-29,0846,0.1
2018-07-27,0540,8.2
2018-07-29,0217,0.0
2018-07-29,0730,0.2
2018-08-03,0751,0.0
2018-08-05,0153,0.0
2018-08-06,0813,0.1
2018-08-05,0615,0.0
2018-08-05,0461,0.0
2018-08-04,0630,0.1
2018-08-04,0561,0.3
2018-08-12,0851,7.4
2018-08-11,0846,4.9
2018-08-10,0813,5.0
2018-08-13,0561,4.5
2018-08-12,0730,11.8
2018-08-12,0101,14.0
2018-08-12,0657,17.1
2018-08-19,0751,0.3
2018-08-19,0153,0.5
2018-08-19,0217,3.2
2018-08-20,0615,0.0
2018-08-19,0730,0.4
2018-08-17,0540,0.1
2018-08-19,0461,0.8
2018-08-27,0851,2.4
2018-08-26,0101,13.8
2018-08-26,0657,8.4
2018-08-24,0846,0.2
2018-08-26,0813,7.7
2018-08-26,0217,11.3
2018-08-26,0630,9.9
